Moisture_Content,pH_Level,Carbon_Content,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Microbial_Activity,Processing_Temperature,Processing_Time,Energy_Consumption,Fertilizer_Quality,Cost,Carbon_Footprint,Seasonal_Availability,Waste_Type_Food Waste,Waste_Type_Garden Waste
44.11,7.29,42.09,2.69,1.63,1.27,75.84,54.85,60.36,470.3,11.15,89.96,1.11,0.0,0.0,1.0
43.09,6.68,54.41,2.6,0.61,2.63,159.5,60.46,26.91,180.41,14.02,52.8,1.32,1.0,1.0,0.0
42.35,6.92,53.75,1.41,0.63,2.36,77.68,53.68,33.75,132.54,18.25,55.11,1.92,0.0,0.0,1.0
75.31,8.06,41.92,2.77,1.48,2.78,102.0,55.63,47.58,235.81,18.42,60.14,1.57,1.0,0.0,1.0
42.48,6.52,58.45,1.94,1.23,1.9,149.49,60.32,41.67,175.14,18.06,62.52,1.23,2.0,1.0,0.0
43.6,8.11,51.37,1.16,1.69,2.79,122.31,64.7,43.72,310.78,18.13,66.72,1.15,2.0,1.0,0.0
67.97,5.76,47.27,3.85,1.87,2.73,160.79,51.89,61.51,374.74,23.81,83.3,0.89,2.0,0.0,1.0
52.49,7.83,55.13,2.92,1.08,1.88,194.18,55.93,24.7,296.37,14.38,60.84,0.96,2.0,0.0,0.0
68.84,8.04,45.15,3.63,1.39,1.76,67.48,68.53,55.7,364.24,19.55,77.37,1.34,1.0,0.0,1.0
33.27,6.05,53.87,3.03,1.25,2.87,156.44,58.58,24.01,245.97,30.3,52.73,1.08,0.0,0.0,1.0
54.38,6.79,40.79,2.07,1.97,2.43,84.55,68.78,27.03,111.17,22.63,46.89,1.59,2.0,0.0,1.0
31.68,6.0,56.79,2.54,1.75,2.86,112.17,69.83,43.6,489.63,26.65,82.64,1.17,1.0,0.0,1.0
33.13,7.62,48.96,3.03,1.87,2.59,54.93,60.53,64.37,427.77,19.88,88.42,1.39,1.0,1.0,0.0
75.32,7.11,52.73,3.88,0.88,2.22,70.39,55.76,30.96,129.37,23.09,52.61,1.75,2.0,0.0,1.0
36.96,7.41,44.42,1.76,1.66,1.23,97.97,65.82,50.62,279.67,11.91,68.03,1.55,2.0,0.0,0.0
56.62,6.09,53.54,3.62,0.9,1.58,101.3,53.19,56.57,354.01,17.03,73.45,1.43,1.0,1.0,0.0
50.55,6.14,55.44,3.77,0.81,2.94,184.94,55.04,35.02,176.24,17.28,56.65,1.24,0.0,0.0,0.0
47.37,5.62,49.46,3.01,1.92,1.64,161.27,65.7,48.59,331.2,12.99,77.59,1.09,1.0,0.0,0.0
74.99,6.47,52.35,3.79,0.53,1.19,195.83,58.67,67.75,313.46,17.77,74.05,1.02,2.0,0.0,0.0
31.09,7.18,49.13,2.19,1.95,2.42,139.86,54.03,48.59,183.31,13.48,55.9,1.49,2.0,0.0,0.0
63.19,8.07,57.88,3.86,0.72,2.47,86.26,63.02,31.55,156.48,19.2,45.66,1.82,2.0,1.0,0.0
78.17,7.5,49.96,3.11,1.73,1.57,99.15,64.66,54.14,403.58,9.49,82.27,1.04,0.0,1.0,0.0
58.01,6.81,56.84,1.13,0.91,1.6,97.98,52.5,52.43,229.03,15.14,68.69,1.28,0.0,0.0,0.0
76.84,8.36,56.03,3.72,1.03,1.94,98.97,55.54,25.29,197.62,24.86,61.97,1.7,0.0,0.0,0.0
32.61,7.66,48.21,2.45,0.83,1.04,150.94,54.43,28.35,395.15,16.45,76.37,0.93,1.0,1.0,0.0
50.94,8.29,44.6,2.38,1.38,2.58,129.62,57.6,31.53,394.43,21.38,68.74,1.02,1.0,1.0,0.0
43.01,7.08,48.12,2.7,1.02,1.63,107.81,65.27,30.54,210.56,12.59,54.81,1.64,0.0,1.0,0.0
